Functional Group,SMILES
fr_ArN,c1ccccc1N
fr_Al_OH,CCO
fr_Al_COO,CC(=O)O
fr_Ar_COO,c1ccccc1C(=O)O
fr_Al_OH_noTert,CCO
fr_Ar_NH,c1ccccc1N
fr_Ar_N,c1ccccc1[n]
fr_Ar_OH,c1ccccc1O
fr_COO2,C(=O)O
fr_COO,C(=O)O
fr_C_O,C=O
fr_C_O_noCOO,C=O
fr_C_S,C=S
fr_HOCCN,OCC[N]
fr_Imine,C=N
fr_NH1,CN
fr_NH2,CN
fr_NH0,CN(C)C
fr_N_O,NO
fr_Ndealkylation1,CCN(C)C
fr_SH,CS
fr_Ndealkylation2,C1CCNCC1
fr_Nhpyrrole,c1ccn[nH]1
fr_aldehyde,C=O
fr_alkyl_carbamate,CCOC(=O)N
fr_alkyl_halide,CCl
fr_allylic_oxid,C=CC
fr_amide,CC(=O)N
fr_amidine,CC(=N)N
fr_aniline,c1ccccc1N
fr_aryl_methyl,c1ccccc1C
fr_azide,CN=[N+]=[N-]
fr_azo,CN=NC
fr_barbitur,CNC(=O)NC(=O)C
fr_benzene,c1ccccc1
fr_benzodiazepine,C1=NC(=O)CN=C2C=CC=CC12
fr_bicyclic,C12CCCCC1CCC2
fr_diazo,CN=[N+]=[N-]
fr_dihydropyridine,C1=CN=C(C=C1)C
fr_epoxide,C1OC1
fr_ester,CCOC(=O)C
fr_ether,CCO
fr_furan,c1ccoc1
fr_guanido,NC(=N)N
fr_hdrzine,NN
fr_hdrzone,C=NN
fr_imidazole,c1cnc[nH]1
fr_imide,COC(=O)NC(=O)O
fr_isocyan,C[N+]#[C-]
fr_isothiocyan,CN=C=S
fr_ketone,CC(=O)C
fr_ketone_Topliss,CC(=O)C
fr_lactam,C1CC(=O)N1
fr_lactone,C1CC(=O)O1
fr_methoxy,COC
fr_morpholine,C1OCCN1
fr_nitrile,C#N
fr_nitro,C[N+](=O)[O-]
fr_nitro_arom,c1ccccc1[N+](=O)[O-]
fr_nitro_arom_nonortho,c1ccc([N+](=O)[O-])cc1
fr_nitroso,CN=O
fr_oxazole,c1cocn1
fr_oxime,C=NO
fr_para_hydroxylation,Oc1ccc(C)cc1
fr_phenol,c1ccccc1O
fr_phenol_noOrthoHbond,c1ccc(O)cc1
fr_phos_acid,OP(=O)(O)O
fr_phos_ester,COP(=O)(O)OC
fr_piperdine,C1CCNCC1
fr_piperzine,C1CNCCN1
fr_priamide,CC(=O)N
fr_prisulfonamd,CS(=O)(=O)N
fr_pyridine,c1ccncc1
fr_quatN,[N+](C)(C)(C)C
fr_sulfide,CSC
fr_sulfone,CS(=O)(=O)C
fr_sulfonamd,CS(=O)(=O)N
fr_term_acetylene,C#C
fr_tetrazole,c1nnnn1
fr_thiazole,c1cscn1
fr_thiocyan,SC#N
fr_thiophene,c1ccsc1
fr_unbrch_alkane,CCCC
fr_urea,NC(=O)N
